week,posteam,team_name,team_color,team_logo_wikipedia,game_time,yards_gained,total_yards_gained
1,GB,Green Bay Packers,#203731,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png,44.5666666666667,0.0,302.0
1,GB,Green Bay Packers,#203731,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png,44.65,0.0,302.0
1,GB,Green Bay Packers,#203731,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png,47.1166666666667,32.0,334.0
1,GB,Green Bay Packers,#203731,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png,47.75,-1.0,333.0
1,GB,Green Bay Packers,#203731,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png,48.3833333333333,6.0,339.0
1,GB,Green Bay Packers,#203731,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png,49.0666666666667,26.0,365.0
1,GB,Green Bay Packers,#203731,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png,49.8166666666667,9.0,374.0
1,GB,Green Bay Packers,#203731,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png,50.5,2.0,376.0
1,GB,Green Bay Packers,#203731,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png,51.1833333333333,5.0,381.0
1,GB,Green Bay Packers,#203731,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png,51.9,0.0,381.0
1,GB,Green Bay Packers,#203731,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png,51.9833333333333,0.0,381.0
1,GB,Green Bay Packers,#203731,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png,52.0666666666667,0.0,381.0
1,GB,Green Bay Packers,#203731,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png,59.55,0.0,381.0
1,GB,Green Bay Packers,#203731,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png,59.6333333333333,33.0,414.0
1,GB,Green Bay Packers,#203731,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png,59.75,4.0,418.0
1,GB,Green Bay Packers,#203731,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png,59.9,0.0,418.0
1,GB,Green Bay Packers,#203731,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png,59.95,-4.0,414.0
1,GB,Green Bay Packers,#203731,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png,60.0,,414.0
1,PHI,Philadelphia Eagles,#004C54,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Philadelphia_Eagles_logo.svg/100px-Philadelphia_Eagles_logo.svg.png,3.33333333333334,-5.0,-5.0
1,PHI,Philadelphia Eagles,#004C54,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Philadelphia_Eagles_logo.svg/100px-Philadelphia_Eagles_logo.svg.png,3.95,0.0,-5.0
1,PHI,Philadelphia Eagles,#004C54,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Philadelphia_Eagles_logo.svg/100px-Philadelphia_Eagles_logo.svg.png,4.05,0.0,-5.0
1,PHI,Philadelphia Eagles,#004C54,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Philadelphia_Eagles_logo.svg/100px-Philadelphia_Eagles_logo.svg.png,6.56666666666667,0.0,-5.0
1,PHI,Philadelphia Eagles,#004C54,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Philadelphia_Eagles_logo.svg/100px-Philadelphia_Eagles_logo.svg.png,6.65,3.0,-2.0
1,PHI,Philadelphia Eagles,#004C54,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Philadelphia_Eagles_logo.svg/100px-Philadelphia_Eagles_logo.svg.png,7.23333333333333,1.0,-1.0
1,PHI,Philadelphia Eagles,#004C54,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Philadelphia_Eagles_logo.svg/100px-Philadelphia_Eagles_logo.svg.png,7.81666666666667,0.0,-1.0
1,PHI,Philadelphia Eagles,#004C54,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Philadelphia_Eagles_logo.svg/100px-Philadelphia_Eagles_logo.svg.png,11.9833333333333,0.0,3.0
1,PHI,Philadelphia Eagles,#004C54,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Philadelphia_Eagles_logo.svg/100px-Philadelphia_Eagles_logo.svg.png,11.9833333333333,4.0,3.0
1,PHI,Philadelphia Eagles,#004C54,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Philadelphia_Eagles_logo.svg/100px-Philadelphia_Eagles_logo.svg.png,12.6166666666667,5.0,8.0
1,PHI,Philadelphia Eagles,#004C54,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Philadelphia_Eagles_logo.svg/100px-Philadelphia_Eagles_logo.svg.png,13.3333333333333,8.0,16.0
1,PHI,Philadelphia Eagles,#004C54,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Philadelphia_Eagles_logo.svg/100px-Philadelphia_Eagles_logo.svg.png,13.65,2.0,18.0
1,PHI,Philadelphia Eagles,#004C54,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Philadelphia_Eagles_logo.svg/100px-Philadelphia_Eagles_logo.svg.png,14.3333333333333,8.0,26.0
1,PHI,Philadelphia Eagles,#004C54,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Philadelphia_Eagles_logo.svg/100px-Philadelphia_Eagles_logo.svg.png,14.9,9.0,35.0
1,PHI,Philadelphia Eagles,#004C54,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Philadelphia_Eagles_logo.svg/100px-Philadelphia_Eagles_logo.svg.png,15.0,,35.0
1,PHI,Philadelphia Eagles,#004C54,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Philadelphia_Eagles_logo.svg/100px-Philadelphia_Eagles_logo.svg.png,15.0,0.0,35.0
1,PHI,Philadelphia Eagles,#004C54,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Philadelphia_Eagles_logo.svg/100px-Philadelphia_Eagles_logo.svg.png,15.1,0.0,35.0
